20, 4.25, 5.00, 1.06, 6.34, 7.41, 62521.00, 24913.00
20, 4.25, 5.75, 1.07, 6.34, 7.41, 62585.00, 24945.00
20, 4.25, 6.50, 1.06, 6.33, 7.39, 62629.00, 24963.00
20, 4.25, 7.25, 1.07, 6.33, 7.40, 62679.00, 24986.00
20, 4.25, 8.00, 1.06, 6.33, 7.39, 62719.00, 25005.00
20, 4.25, 8.75, 1.07, 6.34, 7.40, 62759.00, 25023.00
20, 4.25, 9.50, 1.06, 6.34, 7.41, 62773.00, 25031.00
25, 0.50, 0.50, 2.23, 5.62, 7.84, 376635.00, 162920.00
25, 0.50, 1.25, 2.25, 5.61, 7.86, 385459.00, 167160.00
25, 0.50, 2.00, 2.26, 5.63, 7.89, 387667.00, 168215.00
25, 0.50, 2.75, 2.26, 5.61, 7.87, 388713.00, 168718.00
25, 0.50, 3.50, 2.27, 5.63, 7.90, 389251.00, 168980.00
25, 0.50, 4.25, 2.26, 5.62, 7.88, 389549.00, 169130.00
25, 0.50, 5.00, 2.27, 5.64, 7.91, 389813.00, 169261.00
25, 0.50, 5.75, 2.27, 5.63, 7.90, 389999.00, 169350.00
25, 0.50, 6.50, 2.27, 5.64, 7.91, 390059.00, 169373.00
25, 0.50, 7.25, 2.27, 5.63, 7.91, 390253.00, 169462.00
25, 0.50, 8.00, 2.27, 5.63, 7.90, 390377.00, 169523.00
25, 0.50, 8.75, 2.27, 5.62, 7.88, 390445.00, 169556.00
25, 0.50, 9.50, 2.27, 5.62, 7.89, 390495.00, 169584.00
25, 1.25, 0.50, 2.17, 5.61, 7.78, 355481.00, 152698.00
25, 1.25, 1.25, 2.23, 5.62, 7.85, 376607.00, 162913.00
25, 1.25, 2.00, 2.25, 5.63, 7.87, 382101.00, 165542.00
25, 1.25, 2.75, 2.25, 5.62, 7.87, 384571.00, 166731.00
25, 1.25, 3.50, 2.26, 5.63, 7.88, 386073.00, 167451.00
25, 1.25, 4.25, 2.26, 5.63, 7.89, 387027.00, 167915.00
25, 1.25, 5.00, 2.26, 5.62, 7.88, 387637.00, 168207.00
25, 1.25, 5.75, 2.26, 5.62, 7.88, 388171.00, 168461.00
25, 1.25, 6.50, 2.26, 5.62, 7.88, 388447.00, 168592.00
25, 1.25, 7.25, 2.26, 5.62, 7.87, 388857.00, 168785.00
25, 1.25, 8.00, 2.25, 5.62, 7.87, 389147.00, 168929.00
25, 1.25, 8.75, 2.26, 5.62, 7.88, 389265.00, 168984.00
25, 1.25, 9.50, 2.26, 5.62, 7.88, 389373.00, 169041.00
